month,anomaly_name,affected_rows,percentage_total,treatment,justification
2025_04,negative_fare,186720,4.7026,drop,Negative base_fare is not a valid charge; no data-dictionary meaning found.
2025_04,zero_distance_nonzero_fare,76275,1.921,keep_and_flag,Plausible for short/cancelled-but-charged trips; kept with a flag column for downstream review.
2025_04,zero_passengers,23101,0.5818,keep_and_flag,May reflect a sensor/logging default rather than an empty cab; kept with a flag column.
2025_04,dropoff_before_pickup,163,0.0041,drop,Logically impossible ordering of timestamps.
2025_04,nonpositive_duration,34769,0.8757,drop,Zero/negative duration cannot represent a real trip.
2025_04,unrealistic_speed,1002,0.0252,drop,"Implied speed exceeds 100 mph. Percentile check on 2025-04 showed the distribution breaking sharply between the 99.9th percentile (46.2 mph) and the 99.99th percentile (2,479 mph) -- a ~50x jump consistent with GPS/timestamp errors rather than real trips. 100 mph sits just above the real-world break."
2025_05,negative_fare,325266,7.0836,drop,Negative base_fare is not a valid charge; no data-dictionary meaning found.
2025_05,zero_distance_nonzero_fare,109193,2.378,keep_and_flag,Plausible for short/cancelled-but-charged trips; kept with a flag column for downstream review.
2025_05,zero_passengers,23967,0.5219,keep_and_flag,May reflect a sensor/logging default rather than an empty cab; kept with a flag column.
2025_05,dropoff_before_pickup,101,0.0022,drop,Logically impossible ordering of timestamps.
2025_05,nonpositive_duration,64272,1.3997,drop,Zero/negative duration cannot represent a real trip.
2025_05,unrealistic_speed,1175,0.0256,drop,"Implied speed exceeds 100 mph. Percentile check on 2025-04 showed the distribution breaking sharply between the 99.9th percentile (46.2 mph) and the 99.99th percentile (2,479 mph) -- a ~50x jump consistent with GPS/timestamp errors rather than real trips. 100 mph sits just above the real-world break."
2025_06,negative_fare,275565,6.3745,drop,Negative base_fare is not a valid charge; no data-dictionary meaning found.
2025_06,zero_distance_nonzero_fare,109304,2.5285,keep_and_flag,Plausible for short/cancelled-but-charged trips; kept with a flag column for downstream review.
2025_06,zero_passengers,22791,0.5272,keep_and_flag,May reflect a sensor/logging default rather than an empty cab; kept with a flag column.
2025_06,dropoff_before_pickup,231,0.0053,drop,Logically impossible ordering of timestamps.
2025_06,nonpositive_duration,68583,1.5865,drop,Zero/negative duration cannot represent a real trip.
2025_06,unrealistic_speed,1396,0.0323,drop,"Implied speed exceeds 100 mph. Percentile check on 2025-04 showed the distribution breaking sharply between the 99.9th percentile (46.2 mph) and the 99.99th percentile (2,479 mph) -- a ~50x jump consistent with GPS/timestamp errors rather than real trips. 100 mph sits just above the real-world break."
2025_07,negative_fare,247088,6.3373,drop,Negative base_fare is not a valid charge; no data-dictionary meaning found.
2025_07,zero_distance_nonzero_fare,101078,2.5924,keep_and_flag,Plausible for short/cancelled-but-charged trips; kept with a flag column for downstream review.
2025_07,zero_passengers,20544,0.5269,keep_and_flag,May reflect a sensor/logging default rather than an empty cab; kept with a flag column.
2025_07,dropoff_before_pickup,1,0.0,drop,Logically impossible ordering of timestamps.
2025_07,nonpositive_duration,56064,1.4379,drop,Zero/negative duration cannot represent a real trip.
2025_07,unrealistic_speed,947,0.0243,drop,"Implied speed exceeds 100 mph. Percentile check on 2025-04 showed the distribution breaking sharply between the 99.9th percentile (46.2 mph) and the 99.99th percentile (2,479 mph) -- a ~50x jump consistent with GPS/timestamp errors rather than real trips. 100 mph sits just above the real-world break."
2025_08,negative_fare,261191,7.3079,drop,Negative base_fare is not a valid charge; no data-dictionary meaning found.
2025_08,zero_distance_nonzero_fare,84408,2.3617,keep_and_flag,Plausible for short/cancelled-but-charged trips; kept with a flag column for downstream review.
2025_08,zero_passengers,17272,0.4833,keep_and_flag,May reflect a sensor/logging default rather than an empty cab; kept with a flag column.
2025_08,dropoff_before_pickup,2,0.0001,drop,Logically impossible ordering of timestamps.
