model,split,MAE,RMSE,R2,task
baseline_mean,validation,12.034285321561864,18.022555304029694,-0.0032053238551528,fare
ridge,validation,5.439110952380605,10.989305580418105,0.6270096511988499,fare
random_forest,validation,4.647082247742584,9.604485942107017,0.7150915402357266,fare
hist_gbm,validation,4.620861144201889,10.008886523013588,0.6905940755057427,fare
hist_gbm_FINAL,test,4.49472432094968,10.014496793464351,0.7008582633024032,fare
baseline_mean,validation,10.128718438146729,25.25162110540034,-0.0002559880443284,duration
ridge,validation,6.088952162539943,22.998048453594084,0.170312397402044,duration
random_forest,validation,5.059206202981023,22.735516868532606,0.1891466873457408,duration
hist_gbm,validation,4.738679960775668,22.282606324503625,0.2211306631519897,duration
hist_gbm_FINAL,test,4.361049564479627,21.5449054526988,0.2567598050534841,duration
hist_gbm,validation,25.2505975548336,38.59657448461907,,demand
hist_gbm_FINAL,test,21.614761898906696,32.51381830108701,,demand
