loc_id,dropoff_count,borough_name,zone_name,service_zone
236,1835965,Manhattan,Upper East Side North,Yellow Zone
237,1825865,Manhattan,Upper East Side South,Yellow Zone
161,1591295,Manhattan,Midtown Center,Yellow Zone
230,1303031,Manhattan,Times Sq/Theatre District,Yellow Zone
170,1251581,Manhattan,Murray Hill,Yellow Zone
162,1194184,Manhattan,Midtown East,Yellow Zone
68,1149561,Manhattan,East Chelsea,Yellow Zone
142,1148553,Manhattan,Lincoln Square East,Yellow Zone
239,1143810,Manhattan,Upper West Side South,Yellow Zone
141,1096519,Manhattan,Lenox Hill West,Yellow Zone
234,1068658,Manhattan,Union Sq,Yellow Zone
163,1039476,Manhattan,Midtown North,Yellow Zone
48,1027410,Manhattan,Clinton East,Yellow Zone
79,994569,Manhattan,East Village,Yellow Zone
186,960500,Manhattan,Penn Station/Madison Sq West,Yellow Zone
