loc_id,pickup_count,borough_name,zone_name,service_zone
237,2015045,Manhattan,Upper East Side South,Yellow Zone
132,1923317,Queens,JFK Airport,Airports
161,1922296,Manhattan,Midtown Center,Yellow Zone
236,1770947,Manhattan,Upper East Side North,Yellow Zone
186,1434048,Manhattan,Penn Station/Madison Sq West,Yellow Zone
162,1408526,Manhattan,Midtown East,Yellow Zone
230,1364651,Manhattan,Times Sq/Theatre District,Yellow Zone
142,1295431,Manhattan,Lincoln Square East,Yellow Zone
138,1213748,Queens,LaGuardia Airport,Airports
170,1202345,Manhattan,Murray Hill,Yellow Zone
234,1198952,Manhattan,Union Sq,Yellow Zone
68,1158624,Manhattan,East Chelsea,Yellow Zone
163,1143686,Manhattan,Midtown North,Yellow Zone
79,1143394,Manhattan,East Village,Yellow Zone
239,1134476,Manhattan,Upper West Side South,Yellow Zone
